{gene_id}	{index}
5689	448
5692	449
10466	450
91949	451
5165	452
8726	453
191	454
79760	455
79833	456
50484	457
6241	458
286053	459
57492	460
8289	461
3376	462
5917	463
3948	464
5584	465
84612	466
18	467
7915	468
2551	469
2553	470
5573	471
5575	472
7517	473
123283	474
6897	475
3822	476
3824	477
1737	478
8050	479
51520	480
56922	481
10352	482
720	483
721	484
10483	485
9632	486
1656	487
23644	488
2332	489
8087	490
80218	491
8260	492
1645	493
1646	494
10682	495
10840	496
115708	497
51605	498
5160	499
5162	500
23404	501
56052	502
85365	503
64078	504
9153	505
699	506
701	507
23743	508
635	509
54973	510
55756	511
56288	512
25796	513
11320	514
25834	515
9524	516
80198	517
84464	518
118429	519
84168	520
388531	521
8787	522
4841	523
6421	524
4286	525
7942	526
10484	527
10801	528
23157	529
5361	530
80031	531
2035	532
23136	533
6391	534
10621	535
7516	536
165679	537
55304	538
2023	539
7167	540
6240	541
6010	542
6295	543
23397	544
64151	545
401541	546
79172	547
1356	548
9843	549
56001	550
728343	551
211	552
212	553
27034	554
549	555
79071	556
4848	557
4849	558
23220	559
4489	560
4502	561
5198	562
5471	563
7161	564
8626	565
92935	566
3990	567
9388	568
475	569
538	570
5928	571
5931	572
2587	573
51083	574
1738	575
1743	576
56160	577
6499	578
9652	579
4781	580
4784	581
3065	582
3066	583
80835	584
83756	585
196528	586
55193	587
55745	588
91056	589
29958	590
1536	591
27035	592
121278	593
7166	594
1668	595
728358	596
128866	597
51510	598
7090	599
7091	600
1548	601
1549	602
10051	603
10592	604
26275	605
596	606
598	607
10111	608
4361	609
10785	610
4234	611
1837	612
1838	613
2064	614
2065	615
9734	616
9759	617
5255	618
5261	619
51181	620
6652	621
6317	622
6318	623
10933	624
9643	625
252969	626
80333	627
4128	628
4129	629
64131	630
64132	631
3297	632
3298	633
9217	634
9218	635
23176	636
55752	637
23635	638
23648	639
23512	640
2979	641
51699	642
9559	643
5201	644
5203	645
4967	646
116931	647
9968	648
25913	649
26277	650
2690	651
5618	652
3155	653
54511	654
834	655
835	656
167838	657
200081	658
1791	659
27434	660
5889	661
3373	662
5682	663
2729	664
2730	665
65057	666
6642	667
6643	668
6560	669
9990	670
29925	671
29926	672
506	673
509	674
9957	675
222537	676
6483	677
10426	678
10844	679
170463	680
1723	681
790	682
4331	683
902	684
55711	685
84188	686
5631	687
5634	688
5696	689
5698	690
55669	691
9927	692
333	693
351	694
5105	695
5106	696
6715	697
79644	698
284098	699
8382	700
84332	701
4800	702
29071	703
56913	704
60490	705
80347	706
6470	707
6472	708
2561	709
2562	710
6927	711
6928	712
79717	713
10427	714
140032	715
6192	716
150684	717
54939	718
51692	719
53981	720
51160	721
79720	722
403	723
6102	724
5688	725
51138	726
9318	727
3067	728
55748	729
84735	730
284716	731
57494	732
10471	733
540	734
196294	735
